国家,年份,预期寿命,成人死亡率,婴儿死亡数,酒精消费,五岁以下死亡数,乙肝疫苗接种率,麻疹病例数,BMI指数,脊髓灰质炎疫苗接种率,白喉疫苗接种率,HIV/AIDS死亡率,GDP人均,人口数量(百万),10-19岁消瘦率,5-9岁消瘦率,受教育年限,发达国家,发展中国家
"Congo, Rep.",2008,58.5,331.725,46.9,1.3,69.0,73,64,22.7,77,79,2.07,2103,4.01,8.4,8.0,6.0,0,1
"Congo, Rep.",2007,57.5,343.5545,49.8,1.3,74.0,64,64,22.6,71,72,2.06,2047,3.88,8.5,8.2,5.9,0,1
"Congo, Rep.",2006,56.6,359.3415,53.1,1.3,79.8,71,64,22.5,73,73,2.15,2269,3.75,8.7,8.3,5.9,0,1
"Congo, Rep.",2005,55.6,375.1285,56.8,0.86,86.4,71,64,22.5,62,62,2.19,2172,3.62,8.8,8.5,5.8,0,1
"Congo, Rep.",2004,54.7,390.9155,60.7,0.9,93.3,71,64,22.4,67,67,2.14,2080,3.51,9.0,8.6,5.8,0,1
"Congo, Rep.",2003,53.8,406.702,64.6,0.9,100.2,71,64,22.3,50,50,2.23,2072,3.41,9.1,8.8,5.7,0,1
"Congo, Rep.",2002,53.1,422.489,68.0,0.9,106.2,71,64,22.2,41,41,2.36,2115,3.31,9.3,8.9,5.7,0,1
"Congo, Rep.",2001,52.5,420.18,70.7,0.9,111.1,71,64,22.1,32,31,2.41,2080,3.22,9.4,9.0,5.6,0,1
"Congo, Rep.",2000,52.1,417.8705,72.4,0.95,114.1,71,64,22.0,31,33,2.58,2062,3.13,9.5,9.2,5.5,0,1
Costa Rica,2015,79.6,85.6715,7.7,3.19,9.1,92,90,27.3,92,92,0.19,11643,4.85,1.7,1.7,8.8,0,1
Costa Rica,2014,79.4,87.237,7.9,3.12,9.3,91,90,27.2,91,91,0.19,11355,4.8,1.7,1.7,8.6,0,1
Costa Rica,2013,79.2,88.8035,8.2,3.02,9.6,94,92,27.1,95,95,0.19,11090,4.74,1.7,1.7,8.5,0,1
Costa Rica,2012,79.1,90.369,8.6,3.17,9.9,91,95,27.0,90,91,0.18,10945,4.69,1.8,1.7,8.5,0,1
Costa Rica,2011,78.9,91.2235,8.9,3.21,10.2,84,80,26.9,82,85,0.18,10559,4.63,1.8,1.7,8.4,0,1
Costa Rica,2010,78.8,92.078,9.2,3.74,10.5,89,79,26.8,93,88,0.18,10237,4.58,1.8,1.8,8.3,0,1
Costa Rica,2009,78.6,92.9325,9.3,4.14,10.7,87,84,26.7,80,86,0.17,9838,4.52,1.9,1.8,8.4,0,1
Costa Rica,2008,78.5,93.787,9.5,4.29,10.9,89,89,26.6,89,90,0.16,10053,4.46,1.9,1.8,8.4,0,1
Costa Rica,2007,78.4,94.6415,9.7,4.25,11.1,89,84,26.5,89,89,0.16,9725,4.4,1.9,1.9,8.1,0,1
Costa Rica,2006,78.2,95.22,9.8,4.19,11.2,88,86,26.4,89,89,0.16,9110,4.35,2.0,1.9,7.9,0,1
Costa Rica,2005,78.1,95.7985,9.9,4.11,11.3,90,86,26.3,91,91,0.15,8606,4.29,2.0,2.0,7.9,0,1
Costa Rica,2004,78.0,96.3765,9.9,4.08,11.5,89,85,26.2,90,90,0.15,8395,4.23,2.1,2.0,7.9,0,1
Costa Rica,2003,77.9,96.955,10.0,4.05,11.8,86,86,26.1,88,88,0.14,8158,4.16,2.2,2.1,7.9,0,1
Costa Rica,2002,77.7,97.533,10.1,4.16,12.1,94,86,26.0,94,94,0.14,7940,4.1,2.2,2.2,8.0,0,1
Costa Rica,2001,77.6,98.266,10.5,4.25,12.6,80,86,25.9,92,91,0.13,7805,4.03,2.3,2.2,8.0,0,1
Costa Rica,2000,77.5,98.9985,11.1,4.24,13.1,89,86,25.8,80,88,0.13,7678,3.96,2.4,2.3,8.0,0,1
Cote d'Ivoire,2015,56.1,396.458,65.7,1.54,90.8,83,64,23.7,81,83,0.63,1973,23.23,5.5,5.5,5.0,0,1
Cote d'Ivoire,2014,55.5,402.0515,67.3,1.35,93.6,76,64,23.7,76,76,0.73,1887,22.65,5.6,5.6,4.4,0,1
Cote d'Ivoire,2013,54.9,407.6445,69.1,1.22,97.0,80,64,23.6,79,80,0.84,1769,22.09,5.8,5.7,4.7,0,1
Cote d'Ivoire,2012,54.3,413.238,71.0,1.2,100.1,82,64,23.6,83,82,1.0,1637,21.55,5.9,5.9,4.5,0,1
Cote d'Ivoire,2011,53.6,416.7045,72.9,1.14,103.1,62,64,23.5,58,62,1.16,1559,21.03,6.1,6.0,4.4,0,1
Cote d'Ivoire,2010,53.0,420.1715,74.7,1.12,106.3,85,64,23.5,81,85,1.24,1687,20.53,6.3,6.2,4.2,0,1
Cote d'Ivoire,2009,52.3,423.638,76.6,0.99,109.9,81,64,23.4,77,81,1.45,1616,20.06,6.5,6.4,4.1,0,1
Cote d'Ivoire,2008,51.7,427.1045,78.7,0.97,114.2,74,64,23.3,58,74,1.66,1596,19.61,6.6,6.6,4.0,0,1
Cote d'Ivoire,2007,51.1,430.5715,81.1,0.91,118.2,76,64,23.3,75,76,1.85,1558,19.17,6.8,6.7,3.9,0,1
Cote d'Ivoire,2006,50.6,438.23,83.4,0.81,122.0,77,64,23.2,76,77,2.12,1575,18.75,7.0,6.9,3.8,0,1
Cote d'Ivoire,2005,50.1,445.889,85.2,0.85,125.6,76,64,23.1,87,76,2.33,1565,18.35,7.2,7.1,3.7,0,1
Cote d'Ivoire,2004,49.8,453.5475,87.5,0.85,129.5,67,64,23.0,76,67,2.65,1583,17.97,7.3,7.3,3.6,0,1
Cote d'Ivoire,2003,49.6,461.2065,89.6,4.65,133.1,63,64,22.9,68,61,2.91,1567,17.6,7.5,7.5,3.5,0,1
Cote d'Ivoire,2002,49.5,468.8655,91.6,4.56,136.7,48,64,22.8,70,64,3.2,1679,17.23,7.7,7.7,3.4,0,1
Cote d'Ivoire,2001,49.5,462.512,93.7,4.67,140.1,59,64,22.7,70,66,3.66,1765,16.85,7.9,7.9,3.3,0,1
Cote d'Ivoire,2000,49.6,456.1585,95.6,4.65,143.3,59,64,22.7,66,65,3.99,1848,16.45,8.1,8.1,3.3,0,1
Croatia,2015,77.3,90.2285,4.2,9.64,4.9,94,96,27.3,94,94,0.02,11933,4.2,1.5,1.4,11.2,1,0
Croatia,2014,77.5,92.863,4.3,9.5,5.0,95,97,27.1,95,95,0.02,11544,4.24,1.5,1.5,11.1,1,0
Croatia,2013,77.1,95.4975,4.3,10.39,5.1,96,97,27.0,96,96,0.02,11537,4.26,1.5,1.5,11.0,1,0
Croatia,2012,76.9,98.132,4.4,10.58,5.2,98,97,26.9,96,96,0.02,11547,4.27,1.5,1.5,11.0,1,0
Croatia,2011,76.8,99.7905,4.5,11.01,5.3,97,98,26.8,96,96,0.02,11780,4.28,1.6,1.5,11.0,1,0
Croatia,2010,76.5,101.45,4.7,10.71,5.5,97,98,26.7,97,97,0.02,11749,4.3,1.6,1.6,10.8,1,0
Croatia,2009,76.2,103.109,4.9,11.11,5.7,97,98,26.6,96,96,0.02,11871,4.31,1.7,1.6,10.6,1,0
Croatia,2008,75.9,104.768,5.1,11.36,5.9,97,98,26.4,96,96,0.02,12790,4.31,1.7,1.7,10.3,1,0
Croatia,2007,75.7,106.427,5.3,11.36,6.2,95,98,26.3,96,96,0.02,12550,4.31,1.8,1.7,10.1,1,0
Croatia,2006,75.8,109.298,5.5,10.98,6.4,96,98,26.2,96,96,0.02,11960,4.31,1.8,1.8,9.9,1,0
Croatia,2005,75.2,112.169,5.8,10.72,6.7,96,98,26.1,96,96,0.02,11400,4.31,1.8,1.8,9.7,1,0
Croatia,2004,75.5,115.04,6.1,12.42,7.0,96,98,26.0,96,96,0.02,10943,4.3,1.9,1.9,9.7,1,0
Croatia,2003,74.6,117.911,6.3,12.99,7.3,96,98,25.9,95,94,0.02,10510,4.3,1.9,1.9,9.8,1,0
Croatia,2002,74.7,120.782,6.6,13.88,7.7,96,98,25.8,95,95,0.02,9962,4.3,2.0,2.0,9.8,1,0
Croatia,2001,74.5,121.781,6.9,13.69,8.0,96,98,25.7,94,94,0.01,9428,4.3,2.0,2.0,9.8,1,0
Croatia,2000,72.8,122.7795,7.2,13.24,8.3,96,98,25.6,94,93,0.01,8806,4.47,2.1,2.1,9.4,1,0
Cuba,2015,78.6,89.2395,4.5,4.65,5.7,99,99,25.6,99,99,0.16,7694,11.32,3.5,3.3,11.4,0,1
Cuba,2014,78.5,90.569,4.6,4.54,5.8,97,98,25.5,99,99,0.16,7379,11.31,3.4,3.3,11.2,0,1
Cuba,2013,78.5,91.899,4.7,4.35,5.9,96,97,25.4,99,99,0.16,7318,11.28,3.4,3.3,11.0,0,1
Cuba,2012,78.4,93.229,4.8,4.33,6.1,96,96,25.4,98,99,0.16,7138,11.26,3.4,3.2,10.8,0,1
Cuba,2011,78.4,94.0575,5.0,4.32,6.2,96,95,25.3,99,97,0.16,6942,11.24,3.4,3.2,11.3,0,1
Cuba,2010,78.3,94.886,5.1,4.28,6.4,96,98,25.2,99,96,0.15,6759,11.23,3.4,3.2,11.0,0,1
Cuba,2009,78.3,95.7135,5.2,3.97,6.5,96,95,25.2,99,96,0.15,6601,11.23,3.4,3.2,10.8,0,1
Cuba,2008,78.2,96.542,5.4,4.25,6.7,95,98,25.1,99,95,0.15,6501,11.24,3.4,3.2,10.6,0,1
Cuba,2007,78.0,97.3705,5.5,4.12,6.9,93,99,25.0,99,93,0.15,6236,11.25,3.4,3.2,10.4,0,1
Cuba,2006,77.9,99.5345,5.7,4.17,7.2,89,97,25.0,99,89,0.14,5808,11.26,3.4,3.2,10.1,0,1
Cuba,2005,77.7,101.699,5.9,4.48,7.4,95,53,24.9,99,89,0.14,5183,11.26,3.4,3.3,9.9,0,1
Cuba,2004,77.5,103.8635,6.1,4.36,7.6,99,83,24.8,98,88,0.13,4665,11.25,3.4,3.3,9.8,0,1
Cuba,2003,77.3,106.028,6.3,4.39,7.9,99,78,24.8,98,72,0.13,4419,11.23,3.5,3.3,9.8,0,1
Cuba,2002,77.1,108.1925,6.5,4.1,8.2,98,71,24.7,98,99,0.13,4269,11.2,3.5,3.3,9.5,0,1
Cuba,2001,76.9,109.7575,6.8,4.05,8.5,98,77,24.6,99,98,0.12,4222,11.16,3.6,3.4,9.7,0,1
Cuba,2000,76.7,111.3225,7.0,3.93,8.8,98,75,24.5,98,95,0.12,4106,11.13,3.6,3.4,9.6,0,1
Cyprus,2015,80.4,51.6435,2.4,9.59,2.9,97,88,26.8,97,97,0.06,23408,1.16,1.0,1.0,11.9,1,0
Cyprus,2014,80.2,52.635,2.4,9.63,2.9,96,88,26.8,99,99,0.06,22514,1.15,0.9,1.0,11.9,1,0
Cyprus,2013,80.0,53.6265,2.5,9.07,3.0,96,88,26.8,99,99,0.06,22682,1.14,0.9,1.0,12.0,1,0
Cyprus,2012,79.8,54.618,2.6,10.58,3.1,96,88,26.8,99,99,0.06,24217,1.14,0.9,1.0,11.8,1,0
Cyprus,2011,79.6,56.015,2.7,10.71,3.2,96,88,26.8,99,99,0.06,25466,1.12,0.9,1.0,11.6,1,0
Cyprus,2010,79.4,57.4125,2.8,11.33,3.4,96,88,26.7,99,99,0.06,26020,1.11,0.9,1.0,11.5,1,0
Cyprus,2009,79.2,58.8095,3.0,10.81,3.5,96,88,26.7,99,99,0.05,26182,1.1,0.9,1.0,11.3,1,0
Cyprus,2008,79.1,60.207,3.1,12.03,3.7,93,89,26.7,97,97,0.05,27447,1.08,0.9,1.0,11.3,1,0
Cyprus,2007,78.9,61.604,3.3,11.58,3.9,93,93,26.7,97,97,0.05,27155,1.06,0.9,1.0,11.2,1,0
Cyprus,2006,78.8,62.643,3.6,11.48,4.2,93,90,26.6,97,97,0.04,26394,1.05,0.9,1.0,10.9,1,0
Cyprus,2005,78.6,63.682,3.8,11.41,4.5,88,91,26.6,98,98,0.04,25630,1.03,0.9,1.0,10.7,1,0
Cyprus,2004,78.5,64.721,4.1,13.03,4.8,88,91,26.5,98,98,0.04,24798,1.01,0.9,1.0,10.5,1,0
Cyprus,2003,78.4,65.7605,4.5,10.62,5.2,88,91,26.5,98,98,0.03,23929,0.99,0.9,1.0,10.4,1,0
Cyprus,2002,78.3,66.799,4.8,11.68,5.6,88,91,26.4,98,98,0.03,23603,0.98,0.9,1.0,10.2,1,0
Cyprus,2001,78.1,67.9315,5.2,10.16,6.0,89,91,26.3,97,97,0.03,23018,0.96,0.9,1.0,10.1,1,0
Cyprus,2000,78.0,69.0645,5.6,9.56,6.5,89,91,26.3,97,97,0.03,22382,0.94,0.9,1.0,10.0,1,0
Czechia,2015,78.6,82.5385,2.5,12.76,3.2,97,99,27.0,97,97,0.08,17830,10.55,1.8,1.8,12.7,1,0
Czechia,2014,78.8,83.987,2.5,12.75,3.1,99,96,27.0,99,97,0.08,16951,10.53,1.8,1.9,12.8,1,0
Czechia,2013,78.2,88.7525,2.5,12.54,3.1,99,99,27.0,99,98,0.08,16594,10.51,1.8,1.9,12.6,1,0
Czechia,2012,78.1,92.0385,2.6,12.83,3.2,99,99,26.9,99,99,0.08,16607,10.51,1.8,1.9,12.4,1,0
Czechia,2011,77.9,95.5795,2.6,12.56,3.3,99,98,26.9,99,99,0.08,16762,10.5,1.9,1.9,12.5,1,0
Czechia,2010,77.4,97.8545,2.7,12.68,3.4,99,98,26.8,99,99,0.08,16506,10.47,1.9,2.0,12.4,1,0
Czechia,2009,77.1,100.7625,2.9,13.43,3.5,99,98,26.8,99,99,0.08,16161,10.44,1.9,2.0,12.3,1,0
Czechia,2008,77.0,104.5205,3.0,13.65,3.7,99,98,26.7,99,99,0.08,17047,10.38,1.9,2.0,12.2,1,0
Czechia,2007,76.7,105.2965,3.2,13.83,3.9,99,98,26.7,99,99,0.08,16739,10.3,2.0,2.1,12.2,1,0
Czechia,2006,76.5,106.5445,3.4,13.58,4.1,98,98,26.7,98,98,0.08,15949,10.24,2.0,2.1,12.1,1,0
Czechia,2005,75.9,112.1435,3.6,13.66,4.4,99,98,26.6,96,97,0.08,14978,10.21,2.1,2.1,11.9,1,0
Czechia,2004,75.7,114.2985,3.7,13.42,4.6,98,98,26.6,96,98,0.08,14070,10.2,2.1,2.2,11.6,1,0
Czechia,2003,75.2,120.2325,3.9,13.87,4.8,92,98,26.6,97,97,0.08,13428,10.19,2.2,2.2,11.4,1,0
Czechia,2002,75.2,118.748,4.1,13.77,5.0,86,98,26.5,97,98,0.08,12960,10.2,2.2,2.3,11.1,1,0
Czechia,2001,75.2,121.6575,4.3,13.64,5.2,92,98,26.5,97,98,0.08,12735,10.22,2.2,2.3,10.9,1,0
Czechia,2000,75.0,124.38,4.5,13.9,5.5,92,98,26.5,98,98,0.08,12312,10.26,2.3,2.3,10.6,1,0
Denmark,2015,80.7,67.171,3.5,9.42,4.1,88,80,25.3,93,93,0.03,53255,5.68,1.1,0.9,12.5,1,0
Denmark,2014,80.7,69.2705,3.5,9.55,4.1,88,84,25.3,94,94,0.04,52405,5.64,1.1,0.9,12.8,1,0
Denmark,2013,80.3,72.3825,3.5,9.44,4.1,88,86,25.3,94,94,0.04,51832,5.61,1.1,0.9,13.2,1,0
Denmark,2012,80.1,75.094,3.5,9.23,4.1,88,87,25.3,94,94,0.04,51567,5.59,1.1,0.9,12.8,1,0
Denmark,2011,79.8,78.101,3.4,10.45,4.1,88,86,25.3,91,91,0.04,51644,5.57,1.1,0.9,12.7,1,0
Denmark,2010,79.1,83.927,3.5,10.27,4.1,88,85,25.3,90,90,0.04,51173,5.55,1.1,0.9,12.7,1,0
Denmark,2009,78.6,85.8135,3.6,10.08,4.2,88,85,25.3,89,89,0.04,50457,5.52,1.1,0.9,12.7,1,0
Denmark,2008,78.4,87.314,3.7,10.7,4.4,88,87,25.2,88,88,0.04,53345,5.49,1.1,0.9,12.9,1,0
Denmark,2007,78.2,92.724,3.8,10.99,4.5,88,88,25.2,87,87,0.04,53936,5.46,1.2,0.9,12.5,1,0
Denmark,2006,78.1,92.1215,4.0,11.02,4.8,88,91,25.2,93,93,0.04,53687,5.44,1.2,0.9,12.8,1,0
Denmark,2005,77.8,90.2045,4.2,11.26,5.0,88,91,25.1,93,93,0.04,51836,5.42,1.2,1.0,12.8,1,0
Denmark,2004,77.5,95.0035,4.3,11.26,5.2,88,88,25.1,95,95,0.04,50792,5.4,1.2,1.0,12.8,1,0
Denmark,2003,77.1,97.2905,4.5,11.53,5.4,88,88,25.1,96,96,0.04,49600,5.39,1.2,1.0,12.8,1,0
Denmark,2002,76.9,99.934,4.6,11.32,5.5,88,92,25.0,98,98,0.04,49542,5.38,1.2,1.0,12.1,1,0
Denmark,2001,76.8,101.2215,4.7,11.54,5.6,88,87,25.0,97,97,0.04,49470,5.36,1.3,1.0,11.4,1,0
Denmark,2000,76.6,102.388,4.7,11.68,5.7,88,89,24.9,97,97,0.04,49242,5.34,1.3,1.0,10.7,1,0
Djibouti,2015,64.1,251.749,54.6,0.32,65.8,84,82,24.0,84,84,0.22,2653,0.91,5.6,5.4,4.1,0,1
Djibouti,2014,63.2,253.97,56.2,0.32,68.0,78,82,24.0,78,78,0.25,2509,0.9,5.6,5.4,4.1,0,1
Djibouti,2013,62.2,256.191,57.8,0.36,70.1,82,82,23.9,82,82,0.29,2384,0.88,5.6,5.4,4.0,0,1
Djibouti,2012,61.4,258.4125,59.3,0.41,72.2,81,82,23.9,81,81,0.36,1559,0.87,5.6,5.5,4.0,0,1
Djibouti,2011,60.7,265.328,60.9,0.39,74.4,87,82,23.9,87,87,0.39,1452,0.85,5.6,5.5,4.0,0,1
Djibouti,2010,60.1,272.2445,62.5,0.48,76.6,88,82,23.9,88,88,0.43,1343,0.84,5.6,5.6,4.0,0,1
Djibouti,2009,59.6,279.1605,64.2,0.47,78.8,89,82,23.8,89,89,0.48,1267,0.83,5.7,5.6,3.9,0,1
Djibouti,2008,59.1,286.076,65.9,0.49,81.2,88,82,23.8,89,89,0.5,1224,0.82,5.7,5.6,3.9,0,1
Djibouti,2007,58.7,292.992,67.6,0.45,83.6,88,82,23.8,88,88,0.55,1053,0.81,5.8,5.7,3.9,0,1
Djibouti,2006,58.3,299.0395,69.4,1.03,86.1,88,82,23.7,72,72,0.62,968,0.79,5.8,5.7,3.8,0,1
Djibouti,2005,58.0,305.088,71.2,1.22,88.7,88,82,23.7,71,71,0.67,905,0.78,5.9,5.8,3.7,0,1
Djibouti,2004,57.7,311.1355,72.9,0.51,91.1,88,82,23.7,64,64,0.85,863,0.77,6.0,5.9,3.6,0,1
Djibouti,2003,57.4,317.1835,74.7,0.52,93.6,88,82,23.6,68,68,1.16,819,0.76,6.1,5.9,3.5,0,1
Djibouti,2002,57.2,323.2315,76.5,1.11,96.1,88,82,23.6,62,62,1.78,791,0.75,6.2,6.0,3.4,0,1
Djibouti,2001,57.1,321.3015,78.2,1.33,98.6,88,82,23.6,49,53,2.19,781,0.73,6.3,6.1,3.3,0,1
Djibouti,2000,57.0,319.372,79.9,1.24,101.0,88,82,23.5,46,46,2.96,768,0.72,6.4,6.1,3.2,0,1
Dominican Republic,2015,73.2,161.617,28.8,5.39,35.0,81,83,26.4,87,85,0.38,6922,10.28,3.3,3.2,7.8,0,1
Dominican Republic,2014,73.0,163.0145,28.8,5.23,35.0,89,83,26.3,90,91,0.4,6547,10.17,3.3,3.2,7.8,0,1
Dominican Republic,2013,72.8,164.4115,28.8,5.41,35.0,80,83,26.2,82,83,0.43,6187,10.05,3.3,3.2,7.6,0,1
Dominican Republic,2012,72.5,165.809,28.8,5.49,35.0,74,83,26.1,85,85,0.46,5969,9.93,3.3,3.2,7.5,0,1
Dominican Republic,2011,72.3,167.619,28.8,5.47,35.0,80,83,26.0,84,84,0.49,5881,9.81,3.3,3.2,7.4,0,1
Dominican Republic,2010,72.0,169.4285,28.9,5.54,35.1,83,83,25.9,85,88,0.53,5772,9.7,3.3,3.3,7.3,0,1
Dominican Republic,2009,71.8,171.2385,29.0,5.63,35.3,80,83,25.8,85,82,0.55,5393,9.58,3.4,3.3,7.2,0,1
Dominican Republic,2008,71.6,173.0485,29.1,5.91,35.5,81,83,25.7,86,82,0.59,5410,9.46,3.4,3.3,7.2,0,1
Dominican Republic,2007,71.3,174.858,29.3,5.92,35.7,81,83,25.6,86,85,0.65,5309,9.34,3.4,3.4,7.2,0,1
Dominican Republic,2006,71.0,176.789,29.5,5.84,36.0,84,83,25.5,88,89,0.7,5007,9.22,3.5,3.4,7.1,0,1
Dominican Republic,2005,70.8,178.7195,29.8,5.75,36.4,87,83,25.4,86,87,0.74,4647,9.1,3.5,3.4,7.0,0,1
Dominican Republic,2004,70.5,180.6505,30.1,5.31,36.9,82,83,25.3,66,79,0.79,4305,8.97,3.6,3.5,6.9,0,1
Dominican Republic,2003,70.2,182.5815,30.6,6.53,37.4,79,83,25.2,65,79,0.85,4256,8.85,3.6,3.5,6.8,0,1
Dominican Republic,2002,70.0,184.5125,31.1,6.65,38.1,63,83,25.1,74,82,0.88,4376,8.72,3.7,3.6,6.7,0,1
Dominican Republic,2001,69.7,185.7315,31.7,6.36,39.0,66,83,25.0,71,72,0.94,4249,8.6,3.8,3.6,6.5,0,1
Dominican Republic,2000,69.4,186.951,32.4,6.72,40.0,68,83,24.9,71,78,1.02,4209,8.47,3.8,3.7,6.4,0,1
Ecuador,2015,76.1,123.906,13.2,3.69,15.4,78,76,27.1,84,78,0.16,6124,16.21,1.2,1.1,8.4,0,1
Ecuador,2014,75.9,125.742,13.7,3.81,15.9,83,59,27.0,84,83,0.16,6218,15.95,1.2,1.1,8.5,0,1
Ecuador,2013,75.7,127.577,14.3,3.78,16.6,87,70,26.9,87,87,0.16,6084,15.71,1.3,1.1,8.3,0,1
Ecuador,2012,75.5,129.413,14.9,3.92,17.3,88,81,26.7,85,87,0.15,5885,15.47,1.3,1.2,8.1,0,1
Ecuador,2011,75.3,131.6005,15.6,3.99,18.1,88,92,26.6,85,88,0.16,5655,15.24,1.3,1.2,8.0,0,1
Ecuador,2010,75.1,133.788,16.3,3.97,19.0,90,91,26.5,88,91,0.16,5324,15.01,1.3,1.2,7.9,0,1
Ecuador,2009,74.9,135.975,17.0,4.2,19.9,91,99,26.4,91,94,0.16,5225,14.77,1.3,1.2,7.9,0,1
Ecuador,2008,74.7,138.1625,17.7,4.12,20.8,93,94,26.2,94,96,0.17,5281,14.54,1.3,1.2,7.9,0,1
Ecuador,2007,74.5,140.35,18.5,3.99,21.7,94,95,26.1,95,96,0.17,5048,14.3,1.4,1.3,7.3,0,1
Ecuador,2006,74.3,143.277,19.2,3.88,22.6,96,96,26.0,92,96,0.18,5023,14.06,1.4,1.3,7.3,0,1
Ecuador,2005,74.1,146.204,19.9,3.9,23.5,92,95,25.9,89,92,0.18,4893,13.83,1.4,1.3,7.3,0,1
Ecuador,2004,73.9,149.1315,20.7,4.09,24.4,88,95,25.8,90,88,0.2,4725,13.6,1.5,1.3,7.2,0,1
Ecuador,2003,73.6,152.0585,21.5,4.04,25.4,82,95,25.7,97,87,0.2,4441,13.37,1.5,1.4,7.1,0,1
Ecuador,2002,73.4,154.9855,22.4,3.98,26.6,75,95,25.5,88,88,0.21,4397,13.14,1.5,1.4,7.1,0,1
Ecuador,2001,73.1,156.506,23.4,4.19,28.0,69,95,25.4,90,89,0.22,4299,12.91,1.6,1.5,7.0,0,1
Ecuador,2000,72.8,158.027,24.7,4.01,29.5,36,95,25.3,83,87,0.23,4209,12.68,1.6,1.5,7.0,0,1
"Egypt, Arab Rep.",2015,71.3,149.529,19.8,0.18,23.3,93,64,29.5,93,93,0.13,3563,92.44,2.8,2.8,7.1,0,1
"Egypt, Arab Rep.",2014,71.1,151.4815,20.5,0.19,24.3,94,64,29.3,94,94,0.13,3490,90.42,2.8,2.8,7.0,0,1
"Egypt, Arab Rep.",2013,70.9,153.433,21.3,0.19,25.3,97,64,29.2,97,97,0.13,3468,88.4,2.9,2.8,6.9,0,1
"Egypt, Arab Rep.",2012,70.7,155.3845,22.2,0.19,26.3,93,64,29.1,93,93,0.13,3472,86.42,2.9,2.8,6.8,0,1
"Egypt, Arab Rep.",2011,70.5,157.823,23.1,0.19,27.5,96,64,28.9,96,96,0.13,3473,84.53,2.9,2.9,6.7,0,1
"Egypt, Arab Rep.",2010,70.3,160.261,24.0,0.21,28.7,97,64,28.8,97,97,0.13,3485,82.76,3.0,2.9,6.5,0,1
"Egypt, Arab Rep.",2009,70.2,162.699,25.0,0.19,29.9,97,64,28.7,97,97,0.13,3381,81.13,3.0,3.0,6.4,0,1
"Egypt, Arab Rep.",2008,70.0,165.137,26.0,0.21,31.3,97,64,28.6,97,97,0.13,3291,79.64,3.1,3.0,6.2,0,1
"Egypt, Arab Rep.",2007,69.8,167.5755,27.1,0.19,32.7,98,64,28.4,98,98,0.13,3126,78.23,3.1,3.1,6.0,0,1
"Egypt, Arab Rep.",2006,69.6,168.835,28.2,0.17,34.2,98,64,28.3,98,98,0.13,2971,76.87,3.2,3.1,5.8,0,1
"Egypt, Arab Rep.",2005,69.4,170.095,29.3,0.15,35.7,98,64,28.2,98,98,0.13,2830,75.52,3.2,3.2,5.6,0,1
"Egypt, Arab Rep.",2004,69.3,171.3545,30.6,0.14,37.5,97,64,28.1,97,97,0.13,2759,74.17,3.3,3.2,5.4,0,1
"Egypt, Arab Rep.",2003,69.1,172.614,32.0,0.14,39.4,98,64,28.0,98,98,0.13,2699,72.83,3.3,3.3,5.3,0,1
"Egypt, Arab Rep.",2002,69.0,173.8735,33.5,0.14,41.5,97,64,27.9,97,97,0.13,2665,71.49,3.4,3.4,5.1,0,1
"Egypt, Arab Rep.",2001,68.8,174.899,35.2,0.13,43.9,99,64,27.8,99,99,0.13,2652,70.15,3.5,3.4,4.9,0,1
"Egypt, Arab Rep.",2000,68.6,175.924,37.1,0.14,46.6,98,64,27.6,98,98,0.13,2610,68.83,3.6,3.5,4.8,0,1
El Salvador,2015,72.4,182.1595,13.3,2.54,15.5,91,88,27.6,92,91,0.18,3706,6.33,1.6,1.5,6.6,0,1
El Salvador,2014,72.2,184.7965,13.8,2.45,16.1,93,85,27.5,93,94,0.19,3636,6.3,1.6,1.6,6.5,0,1
El Salvador,2013,71.9,187.4335,14.4,2.35,16.8,92,85,27.4,92,92,0.19,3591,6.27,1.6,1.6,6.6,0,1
El Salvador,2012,71.7,190.07,15.1,2.41,17.6,92,95,27.3,93,92,0.2,3529,6.24,1.6,1.6,6.7,0,1
El Salvador,2011,71.4,192.7545,15.8,2.31,18.5,89,81,27.2,90,89,0.21,3447,6.21,1.7,1.6,6.5,0,1
El Salvador,2010,71.2,195.439,16.6,2.3,19.4,89,78,27.1,89,89,0.22,3335,6.18,1.7,1.6,7.1,0,1
El Salvador,2009,71.0,198.1225,17.4,2.48,20.4,91,82,27.0,91,91,0.24,3280,6.16,1.7,1.6,6.5,0,1
El Salvador,2008,70.8,200.807,18.3,2.59,21.4,98,79,26.9,98,98,0.25,3364,6.13,1.8,1.7,6.4,0,1
El Salvador,2007,70.5,203.491,19.2,2.73,22.6,99,86,26.8,99,99,0.27,3308,6.11,1.8,1.7,5.8,0,1
El Salvador,2006,70.3,206.0165,20.2,2.67,23.8,96,89,26.7,96,96,0.28,3262,6.08,1.8,1.7,6.4,0,1
El Salvador,2005,70.1,208.5415,21.2,2.68,25.1,89,85,26.6,89,89,0.3,3140,6.05,1.9,1.8,6.0,0,1
El Salvador,2004,69.9,211.067,22.4,2.78,26.6,90,80,26.5,90,90,0.32,3072,6.02,1.9,1.8,5.8,0,1
El Salvador,2003,69.7,213.592,23.5,2.91,28.1,94,77,26.4,93,94,0.35,3060,5.99,2.0,1.9,5.7,0,1
